"Year","Parr 0+","Smolts","1SW (tot escaptment)","MSW (tot escaptment)","1SW (female escapment)","MSW (female escapment)"
1984,NA,NA,63,15,39,10
1985,1327.5,NA,37,26,14,22
1986,1466,NA,178,28,85,23
1987,3363,NA,69,21,39,16
1988,1407,NA,76,14,33,12
1989,1597,NA,145,54,76,40
1990,654,NA,217,37,130,27
1991,5743.5,NA,157,55,80,39
1992,4414,NA,179,53,98,45
1993,3918.5,NA,418,42,244,36
1994,3447,NA,276,43,156,39
1995,3288,NA,155,54,87,44
1996,6871,NA,139,39,83,35
1997,7634.5,NA,88,12,56,11
1998,6603,NA,139,12,63,10
1999,9690,NA,129,31,64,23
2000,10925.5,NA,133,29,58,22
2001,12344,NA,176,28,79,24
2002,15249.5,NA,376,37,183,33
2003,7111,NA,20,60,14,47
2004,3994,NA,75,16,39,13
2005,9435.5,NA,77,14,43,14
2006,2374,NA,33,30,16,25
2007,2954.5,NA,52,15,25,10
2008,5013.5,NA,54,28,30,25
2009,2686,NA,46,19,17,19
2010,7283.5,NA,136,20,63,11
2011,4725,NA,37,43,24,29
2012,15479,NA,75,16,27,15
2013,4705,NA,87,43,46,32
2014,6892.5,NA,76,47,21,41
2015,8177.5,NA,54,39,23,32
2016,10286.5,NA,59,23,18,20
2017,7169,NA,80,17,30,14
2018,5551.5,NA,36,29,16,23
2019,14072,NA,119,17,40,15
2020,8195,NA,66,50,30,37
