"Year","Parr 0+","Smolts","1SW (tot returns)","MSW (tot returns)","1SW (escapment)","MSW (escapment)"
1984,NA,NA,175,25,63,15
1985,1313,NA,86,51,37,26
1986,1457,NA,327,45,179,28
1987,3421,NA,187,49,69,21
1988,1410,NA,120,36,76,14
1989,1606,NA,254,69,144,54
1990,639,NA,268,42,218,37
1991,5819,NA,167,61,157,55
1992,4353,NA,208,55,179,53
1993,3929,NA,469,46,418,42
1994,3425,NA,336,49,276,43
1995,3291,NA,181,55,154,54
1996,6941,NA,168,46,139,39
1997,7697,NA,111,12,88,12
1998,6681,NA,159,13,139,12
1999,9842,NA,144,35,129,31
2000,11037,NA,135,33,133,29
2001,12551,NA,188,28,176,28
2002,15657,NA,387,38,376,37
2003,7131,NA,31,64,20,60
2004,3973,NA,88,19,75,16
2005,9487,NA,88,14,76,14
2006,2333,NA,47,31,33,30
2007,2823,NA,65,17,52,15
2008,4917,NA,61,28,54,28
2009,2587,NA,50,21,46,19
2010,7217,NA,147,25,136,20
2011,4647,NA,43,44,37,43
2012,15615,NA,75,17,75,17
2013,4616,NA,86,43,86,43
2014,6742,NA,76,50,76,48
2015,8115,NA,55,39,55,39
2016,10188,NA,60,23,60,23
2017,7134,NA,81,17,80,17
2018,5470,NA,37,29,37,29
2019,13984,NA,120,18,120,18
2020,8115.5,NA,67,50,66,50
2021,28026.5,NA,40,19,40,19
