year,OneSW,MSW
1984,0.27659574,0.807692308
1985,0.33333333,0.73015873
1986,0.33707865,0.675675676
1987,0.06666667,1
1988,0.3442623,0.720930233
1989,0.32653061,0.552631579
1990,0.33333333,0.666666667
1991,0.30952381,0.5
1992,0.39285714,1
1993,0.23655914,0.428571429
1994,0.6,1
1995,0.41666667,1
1996,0.40298507,1
1997,0.38181818,1
1998,0.3030303,1
1999,0.31617647,0.722222222
2000,0.54166667,0.5
2001,0.33333333,0.555555556
2002,0.43010753,0.533333333
2003,0.36809816,0.96
2004,0.47169811,0.823529412
2005,0.28395062,0.714285714
2006,0.40196078,1
2007,0.33333333,0.9
2008,0.57142857,0.75
2009,0.23076923,1
2010,0.3880597,1
2011,0.41463415,0.909090909
2012,0.18181818,0.666666667
2013,0.25925926,0.75
2014,0.3125,1
2015,0.375,0.9
2016,0.30612245,1
2017,0.083333333,1
2018,0.5,0.714285714
2019,0.3167,0.7857
2020,0.40425582,0.7
2021,0.40425582,0.7
2022,0.2222,0.75
2023,0.4,1
