"year","n_1SW_M","n_1SW_F","n_MSW_M","n_MSW_F"
1994,16,6,1,0
1995,2,6,2,7
1996,9,8,0,5
1997,6,11,5,7
1998,10,10,0,9
1999,10,12,0,12
2000,9,12,0,7
2001,14,4,1,3
2002,6,7,0,6
2003,13,16,2,12
2004,12,12,2,13
2005,12,12,2,21
2006,16,13,2,21
2007,12,12,3,25
2008,13,16,4,5
2009,12,17,8,21
2010,18,8,1,12
2011,13,12,6,22
2012,18,11,5,16
2013,9,20,6,17
2014,14,10,5,22
2015,11,12,2,23
2016,20,13,3,27
2017,10,3,2,28
2018,53,40,2,35
2019,60,31,1,6
2020,50,57,0,1
2021,64,39,1,2
2022,41,30,7,32
2023,NA,NA,NA,NA
