"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"1994",0.1705641678,0.0579055586550607,0.07631,0.1307,0.1643,0.2026,0.3028,1.00099571117518,1e+05
"1995",0.1633376281,0.0507466087231261,0.07746,0.1279,0.1586,0.1934,0.2762,1.00099421240608,1e+05
"1996",0.13888563677,0.0494432820466468,0.05201,0.1048,0.1353,0.1689,0.2464,1.00106224879024,20000
"1997",0.2036694526,0.057826920478456,0.1103,0.1633,0.1969,0.2359,0.3372,1.00099553823114,1e+05
"1998",0.12982001471,0.0464577912014425,0.04746,0.09756,0.127,0.1589,0.2296,1.00109218338109,14000
"1999",0.12384796141,0.0448601865006387,0.0433494998875091,0.0926,0.1212,0.1521,0.219,1.0010521919653,24000
"2000",0.13436824346,0.0480181464572049,0.04947,0.101,0.131,0.1641,0.2377,1.00102839264346,38000
"2001",0.16083497966,0.0534547262736226,0.0713797499829244,0.1236,0.1557,0.1921,0.2808,1.00098892439981,1e+05
"2002",0.136549569518,0.0487640968001293,0.0506797499759489,0.1027,0.1332,0.1665,0.242,1.00105318212449,23000
"2003",0.15100600966,0.046475317880431,0.0703597499826768,0.1185,0.1474,0.1796,0.2522,1.00100081306748,1e+05
"2004",0.1486273957,0.0458249635553098,0.06872,0.1166,0.145,0.1768,0.2488,1.00098858634492,1e+05
"2005",0.13275629777,0.0412352682202873,0.0600289996750199,0.1039,0.13,0.1588,0.2212,1.00107229994614,18000
"2006",0.13272493113,0.041272415077383,0.05938,0.1038,0.1301,0.1587,0.2212,1.00100081950956,1e+05
"2007",0.1369637114,0.0400802966394624,0.0658297499814846,0.1088,0.1345,0.1621,0.223,1.00108495797358,16000
"2008",0.1977080723,0.0584590181493925,0.104,0.157,0.1908,0.2301,0.3336,1.0010497318299,25000
"2009",0.1965600049,0.0477932244734338,0.1156,0.1629,0.192,0.2251,0.3033,1.00116341524623,8600
"2010",0.1375099754,0.0453376254134898,0.0579794999159002,0.1058,0.1342,0.1657,0.2353,1.00098932118336,1e+05
"2011",0.1745523387,0.0447408851623382,0.09735,0.1432,0.1708,0.2017,0.2728,1.00098894673305,1e+05
"2012",0.1776947306,0.0476983686474615,0.0964,0.1443,0.1734,0.2065,0.284,1.00098864482716,1e+05
"2013",0.1861668012,0.048395633346005,0.1038,0.1522,0.1818,0.2149,0.2938,1.0010386874861,30000
"2014",0.1639883625,0.0433652282276225,0.08907,0.1335,0.1607,0.1907,0.2581,1.00098856544243,1e+05
"2015",0.12935164084,0.0403326546619798,0.05776,0.1011,0.127,0.1548,0.2155,1.00104393094323,27000
"2016",0.1338056965,0.0393433054291287,0.0635597499808232,0.1065,0.1314,0.1584,0.218,1.00101022732844,69000
"2017",0.12166378209,0.0383159646522822,0.05314,0.0948474999011537,0.1194,0.1458,0.2035,1.00110317104747,13000
"2018",0.11275914317,0.0361939806044957,0.04797,0.08729,0.1109,0.136,0.1892,1.00115137296575,9200
"2019",0.15184137056,0.0501091313739565,0.0660097499815351,0.1169,0.1476,0.1819,0.2628,1.00099909679568,1e+05
"2020",0.15026912668,0.0535697613006574,0.0587297499792459,0.1133,0.1458,0.1816,0.269,1.00101065065349,68000
"2021",0.16358997981,0.0548555114031901,0.07207,0.1257,0.1582,0.1949,0.2878,1.00103787850671,30000
"2022",0.1644783926,0.0403941310759189,0.09378,0.136,0.1617,0.1897,0.2519,1.00099448203082,1e+05
"2023",0.15332033537,0.0549555546153894,0.0603997499798198,0.1155,0.1482,0.1851,0.2758,1.00101461053525,57000
